,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,Mozarlândia,-14.7447,-50.5706,302.45,73,100,2.54,BR,1612631469
313,Aswān,24.0934,32.907,293.17,26,0,4.64,EG,1612631710
314,Limbang,4.75,115.0,300.15,89,75,1.03,MY,1612631711
315,Kotido,2.9806,34.1331,301.71,23,55,5.66,UG,1612631713
316,Butaritari,3.0707,172.7902,300.3,81,93,9.81,KI,1612631417
317,Dalvik,65.9702,-18.5286,273.15,64,75,2.06,IS,1612631716
318,Port Hope,43.9408,-82.7127,264.26,57,89,7.2,US,1612631718
319,Zapolyarnyy,69.4154,30.8136,269.15,80,90,9.26,RU,1612631719
320,Sitka,57.0531,-135.33,275.15,87,75,5.66,US,1612631721
321,Baghdad,33.3406,44.4009,287.15,94,90,4.63,IQ,1612631723
322,Zyryanka,65.75,150.85,242.98,82,13,3.8,RU,1612631723
323,Burē,10.7,37.0667,289.43,32,21,3.55,ET,1612631726
324,Krasnosel'kup,65.7,82.4667,256.01,93,100,6.1,RU,1612631546
325,Tautira,-17.7333,-149.15,296.15,94,75,7.2,PF,1612631515
326,Nara,34.6851,135.8049,279.82,70,30,1.47,JP,1612631463
327,Okhotsk,59.3833,143.3,256.63,90,100,3.9,RU,1612631732
328,Thunder Bay,48.4001,-89.3168,254.26,59,40,8.23,CA,1612631721
329,Faya,18.3851,42.4509,286.15,82,40,2.06,SA,1612631735
330,Waipawa,-41.4122,175.5153,284.26,93,100,1.03,NZ,1612631737
331,Inhambane,-23.865,35.3833,301.15,74,20,2.57,MZ,1612631713
332,Darhan,49.4867,105.9228,254.45,86,0,2.41,MN,1612631740
333,Kerman,30.2832,57.0788,287.15,9,0,1.19,IR,1612631742
334,Olden,61.8364,6.8064,265.37,65,0,2.31,NO,1612631743
335,Hazorasp,41.3194,61.0742,281.15,76,0,4.12,UZ,1612631745
336,Tiarei,-17.5333,-149.3333,296.15,94,75,7.2,PF,1612631450
337,Xining,36.6167,101.7667,268.66,64,95,0.77,CN,1612631748
338,Dandong,40.1292,124.3947,269.74,92,65,3.89,CN,1612631750
339,Takoradze,4.8845,-1.7554,301.52,78,38,4.82,GH,1612631751
340,Santa Vitória do Palmar,-33.5189,-53.3681,300.3,50,0,4.19,BR,1612631539
341,Necochea,-38.5473,-58.7368,297.04,60,6,6.39,AR,1612631754
342,Rocha,-34.4833,-54.3333,302.43,39,0,6.22,UY,1612631756
343,Coração de Maria,-12.2333,-38.75,309.77,28,84,3.21,BR,1612631757
344,Shimoda,34.6667,138.95,283.72,59,0,6.38,JP,1612631759
345,Comodoro Rivadavia,-45.8667,-67.5,289.15,67,75,9.26,AR,1612631761
346,Ous,60.9058,61.5186,250.94,91,100,5.65,RU,1612631762
347,Bairiki Village,1.3292,172.9752,298.15,100,75,5.14,KI,1612631764
348,Port Lincoln,-34.7333,135.8667,289.05,82,78,6.07,AU,1612631704
349,La Asuncion,11.0333,-63.8628,299.48,73,73,7.61,VE,1612631767
350,Uyemskiy,64.4743,40.8524,259.15,78,40,3.0,RU,1612631769
351,Glamoč,44.0458,16.8486,278.38,92,100,4.9,BA,1612631770
352,Port Blair,11.6667,92.75,299.25,76,0,3.57,IN,1612631591
353,Hornepayne,49.2138,-84.7705,251.95,88,100,4.87,CA,1612631774
354,Mawlaik,23.6333,94.4167,290.46,49,2,0.79,MM,1612631775
